measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Singapore,Male,<5 years,Depressive disorders,Number,2014,0.460782011,0.907110457,0.172604697
Prevalence,Singapore,Female,<5 years,Depressive disorders,Number,2014,0.534090584,1.055887573,0.155318412
Prevalence,Singapore,Both,<5 years,Depressive disorders,Number,2014,0.994872595,1.946457386,0.322202421
Prevalence,Singapore,Male,<5 years,Depressive disorders,Percent,2014,5.35E-06,1.06E-05,1.95E-06
Prevalence,Singapore,Female,<5 years,Depressive disorders,Percent,2014,6.79E-06,1.32E-05,1.89E-06
Prevalence,Singapore,Both,<5 years,Depressive disorders,Percent,2014,6.04E-06,1.15E-05,1.93E-06
Prevalence,Singapore,Male,15-19 years,Depressive disorders,Number,2014,2179.570993,2811.84088,1560.250746
Prevalence,Singapore,Female,15-19 years,Depressive disorders,Number,2014,3130.24825,3988.068162,2281.572975
Prevalence,Singapore,Both,15-19 years,Depressive disorders,Number,2014,5309.819243,6879.343943,3846.009547
Prevalence,Singapore,Male,15-19 years,Depressive disorders,Percent,2014,0.019264428,0.024395135,0.013946152
Prevalence,Singapore,Female,15-19 years,Depressive disorders,Percent,2014,0.023604802,0.029982286,0.017280089
Prevalence,Singapore,Both,15-19 years,Depressive disorders,Percent,2014,0.02160549,0.027358053,0.015684599
Prevalence,Singapore,Male,20-24 years,Depressive disorders,Number,2014,3875.151194,4837.784183,2975.22182
Prevalence,Singapore,Female,20-24 years,Depressive disorders,Number,2014,5308.132811,6590.243634,4150.081065
Prevalence,Singapore,Both,20-24 years,Depressive disorders,Number,2014,9183.284006,11305.64529,7085.513345
Prevalence,Singapore,Male,20-24 years,Depressive disorders,Percent,2014,0.018706607,0.023187294,0.014345026
Prevalence,Singapore,Female,20-24 years,Depressive disorders,Percent,2014,0.023233964,0.02890593,0.018420001
Prevalence,Singapore,Both,20-24 years,Depressive disorders,Percent,2014,0.021080472,0.025978865,0.016523555
Prevalence,Singapore,Male,25-29 years,Depressive disorders,Number,2014,4188.943005,5227.004409,3305.231648
Prevalence,Singapore,Female,25-29 years,Depressive disorders,Number,2014,5123.437551,6319.431468,4069.571545
Prevalence,Singapore,Both,25-29 years,Depressive disorders,Number,2014,9312.380557,11389.02438,7389.868507
Prevalence,Singapore,Male,25-29 years,Depressive disorders,Percent,2014,0.018385544,0.023102317,0.014382168
Prevalence,Singapore,Female,25-29 years,Depressive disorders,Percent,2014,0.023110374,0.028544439,0.018432685
Prevalence,Singapore,Both,25-29 years,Depressive disorders,Percent,2014,0.020715434,0.02532965,0.016445608
Prevalence,Singapore,Male,30-34 years,Depressive disorders,Number,2014,6596.321185,8153.258525,5206.887337
Prevalence,Singapore,Female,30-34 years,Depressive disorders,Number,2014,6164.295055,7573.528844,5021.34198
Prevalence,Singapore,Both,30-34 years,Depressive disorders,Number,2014,12760.61624,15757.62989,10232.09234
Prevalence,Singapore,Male,30-34 years,Depressive disorders,Percent,2014,0.017852888,0.022283613,0.014088748
Prevalence,Singapore,Female,30-34 years,Depressive disorders,Percent,2014,0.02271346,0.027902046,0.018521322
Prevalence,Singapore,Both,30-34 years,Depressive disorders,Percent,2014,0.019911106,0.024549156,0.016001885
Prevalence,Singapore,Male,35-39 years,Depressive disorders,Number,2014,3894.841873,4699.207561,3105.598057
Prevalence,Singapore,Female,35-39 years,Depressive disorders,Number,2014,5504.23873,6627.903816,4548.336488
Prevalence,Singapore,Both,35-39 years,Depressive disorders,Number,2014,9399.080603,11250.23605,7719.608034
Prevalence,Singapore,Male,35-39 years,Depressive disorders,Percent,2014,0.017089442,0.020612303,0.013653475
Prevalence,Singapore,Female,35-39 years,Depressive disorders,Percent,2014,0.021781781,0.02625956,0.018056994
Prevalence,Singapore,Both,35-39 years,Depressive disorders,Percent,2014,0.019556507,0.023361309,0.016095778
Prevalence,Singapore,Male,40-44 years,Depressive disorders,Number,2014,4392.01971,5554.32057,3419.473727
Prevalence,Singapore,Female,40-44 years,Depressive disorders,Number,2014,3701.714681,4638.542969,3039.950994
Prevalence,Singapore,Both,40-44 years,Depressive disorders,Number,2014,8093.734391,10045.55963,6434.788412
Prevalence,Singapore,Male,40-44 years,Depressive disorders,Percent,2014,0.016382479,0.02070181,0.012729625
Prevalence,Singapore,Female,40-44 years,Depressive disorders,Percent,2014,0.020900621,0.026205021,0.017128341
Prevalence,Singapore,Both,40-44 years,Depressive disorders,Percent,2014,0.018179846,0.022528095,0.014468864
Prevalence,Singapore,Male,45-49 years,Depressive disorders,Number,2014,3370.054735,4254.207477,2693.730539
Prevalence,Singapore,Female,45-49 years,Depressive disorders,Number,2014,4108.827076,5173.334122,3326.067631
Prevalence,Singapore,Both,45-49 years,Depressive disorders,Number,2014,7478.881811,9426.738291,5984.663322
Prevalence,Singapore,Male,45-49 years,Depressive disorders,Percent,2014,0.015808238,0.019981745,0.012658101
Prevalence,Singapore,Female,45-49 years,Depressive disorders,Percent,2014,0.020211801,0.02539674,0.016326397
Prevalence,Singapore,Both,45-49 years,Depressive disorders,Percent,2014,0.017957684,0.022595824,0.014375287
Prevalence,Singapore,Male,50-54 years,Depressive disorders,Number,2014,3259.688882,4167.251739,2616.042637
Prevalence,Singapore,Female,50-54 years,Depressive disorders,Number,2014,3439.845321,4306.163688,2795.183812
Prevalence,Singapore,Both,50-54 years,Depressive disorders,Number,2014,6699.534203,8361.380069,5453.508053
Prevalence,Singapore,Male,50-54 years,Depressive disorders,Percent,2014,0.01537551,0.01963037,0.01236057
Prevalence,Singapore,Female,50-54 years,Depressive disorders,Percent,2014,0.019762087,0.02475756,0.016057768
Prevalence,Singapore,Both,50-54 years,Depressive disorders,Percent,2014,0.017353246,0.021635635,0.014157889
Prevalence,Singapore,Male,55-59 years,Depressive disorders,Number,2014,2640.305642,3275.40191,2147.935473
Prevalence,Singapore,Female,55-59 years,Depressive disorders,Number,2014,3067.851542,3824.825839,2503.526181
Prevalence,Singapore,Both,55-59 years,Depressive disorders,Number,2014,5708.157184,7125.623181,4672.792426
Prevalence,Singapore,Male,55-59 years,Depressive disorders,Percent,2014,0.015009416,0.018631096,0.012207942
Prevalence,Singapore,Female,55-59 years,Depressive disorders,Percent,2014,0.019300403,0.024060133,0.015738127
